,2019-02-18,2019-06-10,2018-11-01,2018-12-03,2019-07-12,2019-08-13,2018-09-14,2019-03-22,2019-04-23,2019-05-25,2019-07-28,2018-09-30,2019-06-26,2019-08-29,2019-03-06,2019-04-07,2019-05-09,2018-10-16,2018-11-17,number,groups,type,PC_1_45%,PC_2_20%,PC_3_16%,geometry
0,0.1947,0.2031,0.2896,0.30670000000000003,0.194,0.2015,0.39195,0.19669999999999999,0.23399999999999999,0.36125,0.2003,0.35950000000000004,0.2041,0.2005,0.21255000000000002,0.229,0.2612,0.34214999999999995,0.26215,0,пары,TT,-0.751251633234737,-2.057423139676145,5.609323251240209,"POLYGON ((44.25442671750923 44.69241974700958, 44.25623941593118 44.69448155682105, 44.25750725800882 44.69428882740035, 44.25882044893079 44.69415484495072, 44.2670264278246 44.69301654740336, 44.27114114299695 44.6925239898328, 44.27677737880406 44.6916097371918, 44.2689572125383 44.68450738898877, 44.25442671750923 44.69241974700958))"
1,0.19145,0.3541,0.1985,0.246,0.2606,0.32885,0.19985,0.2654,0.6738500000000001,0.8174000000000001,0.2711,0.2023,0.2409,0.3359,0.21610000000000001,0.4019,0.812,0.2025,0.2103,1,яровые,TT,-0.2975089298862581,2.055802886928442,-2.450093739072002,"POLYGON ((44.29948463248682 44.66838645255675, 44.28993989857618 44.67339951714944, 44.30053277824662 44.68341887596368, 44.31054594987327 44.67870009820744, 44.29948463248682 44.66838645255675))"
2,0.1914,0.5453,0.2026,0.2465,0.28090000000000004,0.3784,0.1938,0.2331,0.5337000000000001,0.7929,0.29660000000000003,0.2033,0.2768,0.4224,0.1963,0.2975,0.7733,0.198,0.2243,2,яровые,TT,-0.7014242378164911,4.175953710104791,-2.549742349596839,"POLYGON ((44.29993979455907 44.66800920805998, 44.31107022117196 44.67854247808396, 44.32098978527024 44.67380029046406, 44.30932016595304 44.6628919914121, 44.29993979455907 44.66800920805998))"
3,0.1856,0.5579000000000001,0.19395,0.2445,0.2712,0.3355,0.1859,0.22385,0.54115,0.8008000000000001,0.267,0.2177,0.27940000000000004,0.381,0.197,0.3018,0.7871,0.20179999999999998,0.16720000000000002,3,яровые,TT,-0.9352361169829819,3.1824210697422326,-2.3122800175513105,"POLYGON ((44.30986703105519 44.66254449505878, 44.32130966418547 44.67359755756122, 44.33126037854553 44.66867194918391, 44.31920161846923 44.65768928688794, 44.30986703105519 44.66254449505878))"
4,0.1874,0.5689000000000001,0.2145,0.2574,0.2605,0.31270000000000003,0.1908,0.2458,0.5708,0.8015,0.2513,0.2105,0.2917,0.3587,0.2061,0.32220000000000004,0.8226,0.2124,0.13820000000000002,4,яровые,TT,-0.7671490962496684,2.681731331297796,-2.2180196553460783,"POLYGON ((44.32021065572656 44.65721294382791, 44.33200014684485 44.66846433571094, 44.33846698210178 44.66536668414936, 44.32636996149844 44.65409221505843, 44.32021065572656 44.65721294382791))"
5,0.20005,0.5508500000000001,0.2256,0.2666,0.2486,0.33225000000000005,0.18665,0.2466,0.5737000000000001,0.8084,0.25255,0.2029,0.2581,0.40845,0.2147,0.32555,0.8235,0.20065,0.16035,5,яровые,TT,-0.5722581532584333,3.019635073547988,-2.692132293172592,"POLYGON ((44.32681459944849 44.65371480038387, 44.33876660595066 44.66513455118485, 44.34908440802557 44.66008526419537, 44.33688811045992 44.64845322134322, 44.32681459944849 44.65371480038387))"
6,0.2019,0.5489,0.2469,0.278,0.2554,0.385,0.1951,0.235,0.5889,0.8057000000000001,0.30360000000000004,0.2076,0.2589,0.4479,0.2284,0.33990000000000004,0.8266,0.2035,0.16970000000000002,6,яровые,TT,-0.22512742194604118,4.355628233318004,-2.786427763996583,"POLYGON ((44.33734195900604 44.6481562111838, 44.34952706653186 44.65987584307351, 44.35910383284345 44.6550041326547, 44.34671323147965 44.64326972048295, 44.33734195900604 44.6481562111838))"
7,0.2018,0.5977,0.2318,0.236,0.3346,0.3853,0.2414,0.1926,0.3641,0.7093,0.35810000000000003,0.2242,0.3783,0.4057,0.1971,0.22399999999999998,0.6165,0.2251,0.1748,7,яровые,TT,-1.2065402845690456,5.483286438057623,-0.5947667073665294,"POLYGON ((44.36337500400663 44.65393176258261, 44.33297445486369 44.66923740978255, 44.33757652325149 44.67341535113237, 44.36704387816367 44.6573870996715, 44.36473048984399 44.65544483956939, 44.36337500400663 44.65393176258261))"
8,0.18085,0.28195000000000003,0.1937,0.2243,0.1789,0.18485000000000001,0.1881,0.1885,0.37105,0.742,0.17255,0.18865,0.1794,0.1946,0.1828,0.21375,0.7218,0.18105,0.19605,8,яровые,TT,-1.9704279816230739,-2.0590248363937445,-1.364944273829187,"POLYGON ((44.41612498033578 44.59885957706764, 44.43508190656375 44.61656829349825, 44.44451928874879 44.61193717889612, 44.42515459537922 44.59395024094957, 44.41612498033578 44.59885957706764))"
9,0.17585,0.29025,0.18889999999999998,0.2224,0.17875000000000002,0.1865,0.19474999999999998,0.19705,0.3556,0.7236,0.1743,0.1928,0.17965,0.19025,0.18775,0.20865,0.6949000000000001,0.18635000000000002,0.15685,9,яровые,TT,-2.123517897557142,-2.0252715005435706,-1.1357558516615782,"POLYGON ((44.44748255965322 44.61126455876936, 44.43551233231562 44.61702719942716, 44.44995008115654 44.63058536259825, 44.46167143394293 44.62421710383303, 44.44748255965322 44.61126455876936))"
